"","Inst","Price_OF","Price_IF","Reten","SF_Ratio","Men","Wom"
"1","Abraham Baldwin Agricultural College",20541,13803,66,21,1575,1819
"2","Agnes Scott College",44595,44595,87,10,4,917
"3","Albany State University",31856,21395,71,15,1812,4450
"4","Albany Technical College",11845,9709,52,15,1091,2076
"6","Altierus Career College-Norcross",24290,24290,63,24,31,248
"7","American InterContinental University-Atlanta",21829,21829,29,20,592,1312
"9","Argosy University-Atlanta",26878,26878,33,9,103,352
"10","Armstrong State University",38122,27661,65,16,2105,4176
"11","Athens Technical College",14826,12690,63,14,1687,2806
"13","Atlanta Metropolitan State College",20060,13596,71,16,884,1617
"15","Atlanta Technical College",12827,10691,58,18,1393,2705
"18","Augusta Technical College",21564,19428,58,16,1947,2648
"19","Augusta University",40534,25532,73,15,1876,3415
"20","Aviation Institute of Maintenance-Atlanta",31224,31224,61,12,656,51
"22","Berry College",49916,49916,78,11,778,1200
"23","Beulah Heights University",23080,23080,0,12,145,131
"24","Brenau University",44248,44248,65,11,161,1575
"25","Brewton-Parker College",35257,35257,49,13,453,330
"26","Brown College of Court Reporting",36975,36975,100,12,10,188
"28","Carver Bible College",29802,29802,25,4,37,23
"29","Central Georgia Technical College",13653,11062,56,14,2864,5181
"30","Chamberlain University-Georgia",37767,37767,100,11,100,897
"31","Chattahoochee Technical College",14015,11879,53,22,4440,5761
"32","Clark Atlanta University",37382,37382,70,20,909,2393
"33","Clayton  State University",30393,19932,68,18,2028,4527
"34","Coastal Pines Technical College",14816,12680,53,13,1240,1813
"36","College of Coastal Georgia",25238,16816,58,20,1222,2441
"38","Columbus State University",31570,20784,76,17,2758,4041
"39","Columbus Technical College",18780,16644,56,16,1054,2043
"40","Covenant College",40590,40590,87,13,481,549
"42","Dalton State College",25090,16668,68,21,2095,3069
"44","DeVry University-Georgia",35788,35788,38,37,445,510
"46","East Georgia State College",21545,15348,43,26,1267,1736
"48","Emmanuel College",33310,33310,61,14,495,458
"49","Emory University",66950,66950,93,9,2809,4128
"50","Emory University-Oxford College",64708,64708,97,12,411,568
"61","Fort Valley State University",29738,16658,76,17,963,1381
"62","Fortis College-Smyrna",31413,31413,53,24,192,393
"65","Georgia Christian University",27820,27820,50,8,11,10
"66","Georgia College & State University",48430,29716,84,17,2260,3727
"67","Georgia Gwinnett College",35078,24364,67,18,5374,6913
"70","Georgia Institute of Technology-Main Campus",52000,31404,97,22,9659,5914
"72","Georgia Northwestern Technical College",15930,13794,61,18,2141,3502
"73","Georgia Piedmont Technical College",24283,22147,68,16,1459,2656
"74","Georgia Southern University",33646,22860,79,21,8804,8955
"75","Georgia Southwestern State University",30897,20436,65,17,963,1643
"76","Georgia State University",39921,25062,83,23,10493,15277
"77","Georgia State University-Perimeter College",21241,15044,67,21,7485,11247
"78","Gordon State College",20186,14004,63,20,1299,2687
"80","Gupton Jones College of Funeral Service",23700,23700,83,28,107,142
"81","Gwinnett College-Lilburn",28325,28325,49,15,32,220
"84","Gwinnett Technical College",21010,18874,61,20,3448,4873
